station,year,month,observed_days,monthly_mean_cfs,expected_days,coverage_pct,complete_month,year_status,year_used,forced_include,month_status,month_usable_for_rolling
Comal Springs,1936,1936-04-01,30,333.5,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-05-01,31,339.9032258064516,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-06-01,30,387.3333333333333,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-07-01,31,366.06451612903226,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-08-01,31,358.06451612903226,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-09-01,30,364.3666666666667,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-10-01,31,365.2258064516129,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-11-01,30,360.73333333333335,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1936,1936-12-01,31,353.8709677419355,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-01-01,31,348.1290322580645,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-02-01,28,350.7142857142857,28,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-03-01,31,363.2903225806452,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-04-01,30,375.03333333333336,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-05-01,31,364.9032258064516,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-06-01,30,378.6,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-07-01,31,359.4516129032258,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-08-01,31,340.51612903225805,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-09-01,30,337.1,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-10-01,31,319.2258064516129,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-11-01,30,314.43333333333334,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1937,1937-12-01,31,323.35483870967744,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-01-01,31,325.4193548387097,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-02-01,28,329.5,28,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-03-01,31,329.5483870967742,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-04-01,30,343.4,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-05-01,31,366.51612903225805,31,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
Comal Springs,1938,1938-06-01,30,365.3666666666667,30,100,TRUE,COMPLETE,TRUE,FALSE,COMPLETE,TRUE
